,0
136,"Bloomington/Normal, IL: Central Illinois Regional"
137,"Charleston/Dunbar, WV: Yeager"
138,"Palm Springs, CA: Palm Springs International"
139,"Springfield, MO: Springfield-Branson National"
140,"Manchester, NH: Manchester-Boston Regional"
141,"Green Bay, WI: Green Bay Austin Straubel International"
142,"Pasco/Kennewick/Richland, WA: Tri Cities"
143,"Shreveport, LA: Shreveport Regional"
144,"Gainesville, FL: Gainesville Regional"
145,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
146,"Kalispell, MT: Glacier Park International"
147,"Duluth, MN: Duluth International"
148,"Traverse City, MI: Cherry Capital"
149,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
150,"Fairbanks, AK: Fairbanks International"
151,"Rapid City, SD: Rapid City Regional"
152,"Long Beach, CA: Long Beach Airport"
153,"Bangor, ME: Bangor International"
154,"Burlington, VT: Burlington International"
155,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
156,"South Bend, IN: South Bend International"
157,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
