,0
132,"Myrtle Beach, SC: Myrtle Beach International"
133,"Bloomington/Normal, IL: Central Illinois Regional"
134,"Valdosta, GA: Valdosta Regional"
135,"Montgomery, AL: Montgomery Regional"
136,"Bangor, ME: Bangor International"
137,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
138,"Rochester, MN: Rochester International"
139,"Gainesville, FL: Gainesville Regional"
140,"Washington, DC: Washington Dulles International"
141,"Rapid City, SD: Rapid City Regional"
142,"Dallas, TX: Dallas Love Field"
143,"Wilmington, NC: Wilmington International"
144,"Columbus, MS: Golden Triangle Regional"
145,"Chicago, IL: Chicago Midway International"
146,"Columbus, GA: Columbus Airport"
147,"Key West, FL: Key West International"
148,"Brunswick, GA: Brunswick Golden Isles"
149,"Dothan, AL: Dothan Regional"
150,"Augusta, GA: Augusta Regional at Bush Field"
151,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
152,"Bismarck/Mandan, ND: Bismarck Municipal"
153,"Melbourne, FL: Melbourne International"
154,"Orlando, FL: Orlando International"
155,"Charlottesville, VA: Charlottesville Albemarle"
156,"Charleston/Dunbar, WV: Yeager"
157,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
158,"Albany, GA: Southwest Georgia Regional"
159,"State College, PA: University Park"
160,"Saginaw/Bay City/Midland, MI: MBS International"
161,"Daytona Beach, FL: Daytona Beach International"
162,"Williston, ND: Sloulin Field International"
163,"Phoenix, AZ: Phoenix Sky Harbor International"
164,"Salt Lake City, UT: Salt Lake City International"
165,"Miami, FL: Miami International"
166,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal"
167,"San Angelo, TX: San Angelo Regional/Mathis Field"
168,"Longview, TX: East Texas Regional"
169,"Fort Wayne, IN: Fort Wayne International"
170,"Durango, CO: Durango La Plata County"
171,"Garden City, KS: Garden City Regional"
172,"Manhattan/Ft. Riley, KS: Manhattan Regional"
173,"Abilene, TX: Abilene Regional"
174,"Grand Island, NE: Central Nebraska Regional"
175,"Hayden, CO: Yampa Valley"
176,"Billings, MT: Billings Logan International"
177,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
178,"Minot, ND: Minot International"
