,0
135,"Santa Ana, CA: John Wayne Airport-Orange County"
136,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
137,"Bend/Redmond, OR: Roberts Field"
138,"Reno, NV: Reno/Tahoe International"
139,"Midland/Odessa, TX: Midland International Air and Space Port"
140,"Chattanooga, TN: Lovell Field"
141,"Akron, OH: Akron-Canton Regional"
142,"Greensboro/High Point, NC: Piedmont Triad International"
143,"Fort Myers, FL: Southwest Florida International"
144,"Albany, NY: Albany International"
145,"Hartford, CT: Bradley International"
146,"Hancock/Houghton, MI: Houghton County Memorial"
147,"Cody, WY: Yellowstone Regional"
148,"Eau Claire, WI: Chippewa Valley Regional"
149,"Jamestown, ND: Jamestown Regional"
150,"Devils Lake, ND: Devils Lake Regional"
151,"Asheville, NC: Asheville Regional"
152,"Paducah, KY: Barkley Regional"
153,"El Paso, TX: El Paso International"
154,"Muskegon, MI: Muskegon County"
155,"Jacksonville, FL: Jacksonville International"
156,"Gillette, WY: Gillette Campbell County"
157,"Brownsville, TX: Brownsville South Padre Island International"
158,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
159,"Norfolk, VA: Norfolk International"
160,"Aberdeen, SD: Aberdeen Regional"
161,"Alpena, MI: Alpena County Regional"
162,"Ithaca/Cortland, NY: Ithaca Tompkins Regional"
163,"Marquette, MI: Sawyer International"
164,"Sault Ste. Marie, MI: Chippewa County International"
165,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
166,"Rhinelander, WI: Rhinelander/Oneida County"
167,"Iron Mountain/Kingsfd, MI: Ford"
168,"Lewiston, ID: Lewiston Nez Perce County"
169,"International Falls, MN: Falls International Einarson Field"
170,"Pocatello, ID: Pocatello Regional"
171,"Hibbing, MN: Range Regional"
172,"Escanaba, MI: Delta County"
173,"Bemidji, MN: Bemidji Regional"
174,"Brainerd, MN: Brainerd Lakes Regional"
175,"Butte, MT: Bert Mooney"
176,"Cedar City, UT: Cedar City Regional"
177,"Rock Springs, WY: Rock Springs Sweetwater County"
